query,intent
What are your operating hours on Wednesday? Ref GEN-02677,general_query
I need to book remedial massage on 14 June at around 7:30pm near Wollongong. Ref #12743.,booking
Can I move my appointment on January 23 to January 9? Ref RES-00146,reschedule
Do I need to arrive early for a facial? Ref GEN-00931,general_query
Is there a surcharge in Canberra City and what's the total usually,pricing
I need to cancel my hair styling appointment on April 3. Ref CAN-01377,cancellation
I need to reschedule my massage from Tuesday to Tuesday. Ref RES-00184,reschedule
Please cancel my booking for Thursday at 11:00 AM. Ref CAN-01528,cancellation
I need to reschedule my massage from Friday to Thursday. Ref RES-01062,reschedule
"Tomorrow evening booking for hair styling at Geelong, can this be done?",booking
"manicure booking for 22 May, Friday night, Canberra City.",booking
I want to change my nail appointment appointment to next Tuesday. Ref RES-01941,reschedule
"urgent, put me down for",booking
Can you share your pricing for a therapy session on August 13? Ref PRI-01599,pricing
I want to change my massage appointment to next Tuesday. Ref RES-00745,reschedule
What are your operating hours on Thursday? Ref GEN-04190,general_query
I have to cancel my appointment due to a conflict this Monday. Ref CAN-01332,cancellation
"pedicure booking for 3 July, Friday night, Newcastle.",booking
Help me reserve a slot for a hair styling next Sunday morning. Ref BOO-00714,booking
Please help me reschedule my booking to 11:00 AM instead of 3:30 PM. Ref RES-01224,reschedule
I have to cancel my appointment due to a conflict this Friday. Ref CAN-00011,cancellation
Can you schedule a 2 hours therapy session for November 1? Ref BOO-00264,booking
Please book me for massage at the north side office this Wednesday. Ref BOO-00178,booking
Do you have parking available at the north side office? Ref GEN-02093,general_query
What should I bring for my first therapy session? Ref GEN-02400,general_query
Where is your city center location located exactly? Ref GEN-03686,general_query
Please remove booking ID 8219.,cancellation
Need a therapist at home in Wollongong for physio session around 6pm.,booking
What are your operating hours on Friday? Ref GEN-04163,general_query
I need an appointment for facial on March 27 at 9:30 AM. Ref BOO-01602,booking
"ok proceed, call off that appointment.",cancellation
What are your operating hours on Friday? Ref GEN-02249,general_query
Need this cancelled immediately: facial 10 June Saturday morning.,cancellation
Need a therapist at home in Fremantle for deep tissue massage after work.,booking
Please cancel my booking for Wednesday at 6:30 PM. Ref CAN-00189,cancellation
How much does a 2 hours consultation cost? Ref PRI-01561,pricing
I need to reschedule my nail appointment from Sunday to Tuesday. Ref RES-03023,reschedule
Do I need to arrive early for a nail appointment? Ref GEN-01912,general_query
Please help me reschedule my booking to 9:30 AM instead of 8:00 AM. Ref RES-03287,reschedule
I need to reschedule my hair styling from Sunday to Monday. Ref RES-01071,reschedule
Can you schedule a 1 hour consultation for April 1? Ref BOO-02130,booking
What are your operating hours on Sunday? Ref GEN-01910,general_query
Do you charge extra for weekend massage bookings? Ref PRI-01497,pricing
I need to reschedule my massage from Thursday to Thursday. Ref RES-00796,reschedule
What are your operating hours on Sunday? Ref GEN-03432,general_query
please void my remedial massage appointment for Friday night in Bondi.,cancellation
Kindly cancel my reservation for February 9 at 3:30 PM. Ref CAN-01432,cancellation
I need an appointment for therapy session on September 15 at 6:30 PM. Ref BOO-00118,booking
I want to book a nail appointment on Thursday at 9:30 AM. Ref BOO-01617,booking
What are your operating hours on Thursday? Ref GEN-04041,general_query
How much does a 1 hour nail appointment cost? Ref PRI-00089,pricing
Do I need to arrive early for a consultation? Ref GEN-01002,general_query
I have to cancel my appointment due to a conflict this Saturday. Ref CAN-02220,cancellation
What are your operating hours on Sunday? Ref GEN-02150,general_query
Book two people for mobile beauty on 1 June around next Monday in Brisbane City.,booking
Where is your downtown branch located exactly? Ref GEN-02289,general_query
price? cleaning,pricing
Please delete booking ID 9186.,cancellation
I want to change my hair styling appointment to next Monday. Ref RES-01020,reschedule
Need a therapist at home in Melbourne CBD for chiropractic session next Tuesday afternoon. Ref #13330.,booking
Please help me reschedule my booking to 5:00 PM instead of 9:30 AM. Ref RES-00486,reschedule
Need a therapist at home in Fortitude Valley for mobile beauty around 7:30pm.,booking
How much does a 1 hour nail appointment cost? Ref PRI-00723,pricing
Do I need to arrive early for a consultation? Ref GEN-00548,general_query
Please help me reschedule my booking to 9:30 AM instead of 9:30 AM. Ref RES-00164,reschedule
Please book me for facial at the north side office this Friday. Ref BOO-00327,booking
void my waxing appt for next Monday in Fortitude Valley.,cancellation
I have to cancel my appointment due to a conflict this Saturday. Ref CAN-01894,cancellation
What should I bring for my first nail appointment? Ref GEN-02408,general_query
Help me reserve a slot for a facial next Sunday morning. Ref BOO-01886,booking
Kindly cancel my reservation for October 13 at 8:00 AM. Ref CAN-00120,cancellation
I need to cancel my hair styling appointment on July 16. Ref CAN-02187,cancellation
cancel it for the deep tissue massage slot lunchtime in Fremantle.,booking
Where is your north side office located exactly? Ref GEN-01407,general_query
Please cancel my booking for Friday at 6:30 PM. Ref CAN-00561,cancellation
Where is your downtown branch located exactly? Ref GEN-02693,general_query
What are your operating hours on Tuesday? Ref GEN-00101,general_query
Please remove booking ID 9680.,cancellation
"I might book later, just need a quote for spring cleaning first. #pri-2270",pricing
Do I need to arrive early for a facial? Ref GEN-02405,general_query
"Before I confirm, what would massage cost for two people? #pri-2825",pricing
"Before I confirm, what would mobile beauty cost for two people? #pri-2329",pricing
Do you have parking available at the north side office? Ref GEN-01397,general_query
"waxing booking for 28 June, around 7:30pm, Melbourne CBD.",booking
Where is your north side office located exactly? Ref GEN-02690,general_query
I need to cancel my consultation appointment on July 27. Ref CAN-02637,cancellation
Can I cancel without penalty if therapist is late? #can-2403,general_query
"Before I confirm, what would hair styling cost for two people? Ref inquiry 12105.",pricing
"Cancel booking for tonight, can't make it. #can-2977",cancellation
Do you charge extra for weekend massage bookings? Ref PRI-01254,pricing
I need to reschedule my facial from Thursday to Saturday. Ref RES-02622,reschedule
Kindly cancel my reservation for June 13 at 1:00 PM. Ref CAN-01847,cancellation
What should I bring for my first consultation? Ref GEN-03558,general_query
How many hours notice do I need to cancel? #can-1501,general_query
What are your operating hours on Sunday? Ref GEN-03609,general_query
Where is your city center location located exactly? Ref GEN-02171,general_query
Can we move my facial appointment to tonight at Adelaide CBD?,reschedule
Do you charge extra for weekend nail appointment bookings? Ref PRI-01023,pricing
Can you share your pricing for a nail appointment on September 25? Ref PRI-00717,pricing
Are there package discounts for multiple consultation sessions? Ref PRI-00884,pricing
Can I move my appointment on January 17 to January 5? Ref RES-02122,reschedule
Please help me reschedule my booking to 9:30 AM instead of 6:30 PM. Ref RES-01670,reschedule
Can you schedule a 90 minutes hair styling for November 5? Ref BOO-01064,booking
Where is your west end studio located exactly? Ref GEN-00130,general_query
Kindly cancel my reservation for February 1 at 3:30 PM. Ref CAN-01358,cancellation
Can you share your pricing for a hair styling on April 23? Ref PRI-00101,pricing
Do you have parking available at the west end studio? Ref GEN-03194,general_query
I need to cancel my massage appointment on October 24. Ref CAN-00869,cancellation
Can I move my appointment on April 28 to November 17? Ref RES-00480,reschedule
Could you reschedule my reservation at the downtown branch to 11:00 AM? Ref RES-03941,reschedule
I want to change my therapy session appointment to next Monday. Ref RES-01629,reschedule
"I might book later, just need a quote for waxing first. #pri-1865",pricing
Do I need to arrive early for a facial? Ref GEN-01648,general_query
Do I need to arrive early for a hair styling? Ref GEN-03241,general_query
"Cancel booking for tonight, can't make it. #can-1667",cancellation
Please help me reschedule my booking to 9:30 AM instead of 9:30 AM. Ref RES-02687,reschedule
I have to cancel my appointment due to a conflict this Monday. Ref CAN-01050,cancellation
Where is your west end studio located exactly? Ref GEN-01369,general_query
What are your operating hours on Sunday? Ref GEN-03429,general_query
Do you have parking available at the north side office? Ref GEN-02176,general_query
Book two people for end of lease cleaning on 15 July around next Tuesday afternoon in Fremantle. Ref #13159.,booking
Please cancel out booking ID 7167.,cancellation
Please cancel my booking for Saturday at 8:00 AM. Ref CAN-01784,cancellation
Can you cancel my scheduled massage at the city center location? Ref CAN-00342,cancellation
What is the price for therapy session at the west end studio? Ref PRI-01040,pricing
rough cost for a mobile beauty in Wollongong?,pricing
How much does a 90 minutes hair styling cost? Ref PRI-01647,pricing
I want to change my facial appointment to next Saturday. Ref RES-03258,reschedule
Can you reserve me for facial before 9am? I'm in Fortitude Valley.,booking
Can I move my appointment on October 13 to August 26? Ref RES-00243,reschedule
Do you have parking available at the city center location? Ref GEN-01464,general_query
I need to reschedule my hair styling from Wednesday to Saturday. Ref RES-00432,reschedule
Are there package discounts for multiple therapy session sessions? Ref PRI-00928,pricing
What is the price for facial at the west end studio? Ref PRI-00860,pricing
I want to book a consultation on Thursday at 3:30 PM. Ref BOO-01813,booking
Do prices change for evening bookings like next Monday #pri-2296,pricing
I want to change my consultation appointment to next Monday. Ref RES-02026,reschedule
What should I bring for my first consultation? Ref GEN-02952,general_query
Do you have parking available at the downtown branch? Ref GEN-03287,general_query
Where is your downtown branch located exactly? Ref GEN-02581,general_query
What are your operating hours on Saturday? Ref GEN-01584,general_query
How much does a 1 hour therapy session cost? Ref PRI-01306,pricing
Do I need to arrive early for a facial? Ref GEN-00147,general_query
What should I bring for my first therapy session? Ref GEN-02178,general_query
Please help me reschedule my booking to 1:00 PM instead of 5:00 PM. Ref RES-03720,reschedule
"I want to reschedule instead of cncl, but if not possible cncl out it.",reschedule
Can I,pricing
I need an appointment for massage on May 26 at 5:00 PM. Ref BOO-02016,booking
I want to book a hair styling on Wednesday at 3:30 PM. Ref BOO-02151,booking
What should I bring for my first nail appointment? Ref GEN-03831,general_query
Could you reschedule my reservation at the north side office to 9:30 AM? Ref RES-02842,reschedule
What's your cancellation policy for remedial massage bookings?,general_query
Any extra fee for mobile beauty in Melbourne CBD? #pri-2550,pricing
Please help me reschedule my booking to 8:00 AM instead of 11:00 AM. Ref RES-03593,reschedule
I need to reschedule my facial from Wednesday to Monday. Ref RES-02131,reschedule
Can I get pricing for carpet cleaning at home in Adelaide CBD?,pricing
Please cancel my booking for Saturday at 1:00 PM. Ref CAN-01380,cancellation
I need to reschedule my hair styling from Tuesday to Saturday. Ref RES-01199,reschedule
Can I move my appointment on November 8 to October 21? Ref RES-00825,reschedule
I need to reschedule my hair styling from Tuesday to Tuesday. Ref RES-02182,reschedule
Please remove bokking ID 9335.,cancellation
Help me reserve a slot for a hair styling next Monday morning. Ref BOO-01076,booking
"Before I confirm, what would cleaning cost for two people? #pri-555",pricing
when you can fee for a remedial massage in Perth CBD?,pricing
I need to reschedule my massage from Tuesday to Tuesday. Ref RES-02870,reschedule
I want to change my nail appointment appointment to next Tuesday. Ref RES-01257,reschedule
Book two people for physio session on 1 June around next Tuesday afternoon in Sydney CBD.,booking
I have to cancel my appointment due to a conflict this Sunday. Ref CAN-01396,cancellation
I need to delete the session on 18 May at next Tuesday afternoon.,cancellation
Do you have parking available at the city center location? Ref GEN-02515,general_query
"cancel it, call off that appointment. #can-1240",cancellation
nah cancel that for the relaxation massage slot tomorrow evening in Sydney CBD.,booking
Do I need to arrive early for a consultation? Ref GEN-02464,general_query
I want to change my facial appointment to next Sunday. Ref RES-02692,reschedule
What should I bring for my first massage? Ref GEN-00166,general_query
Please help me reschedule my booking to 6:30 PM instead of 9:30 AM. Ref RES-03392,reschedule
Any extra fee for waxing in Richmond?,pricing
Need this cancelled immediately: mobile beauty 1 June this afternoon.,cancellation
I need to cancel my therapy session appointment on October 21. Ref CAN-01144,cancellation
I need to cancel out the session on 15 July at Sunday evening. #can-2826,cancellation
Do prces change for evening bokkings like Saturday morning?,pricing
Can we move my deep tissue massage appointment to Saturday morning at Brisbane City?,reschedule
Reschedule my existing booking to 14 June tonight in Canberra City.,reschedule
"Before I confirm, what would spring cleaning cost for two people? #pri-2758",pricing
Can you schedule a 2 hours therapy session for July 2? Ref BOO-00038,booking
Please book me for facial at the north side office this Thursday. Ref BOO-01977,booking
Do you have parking available at the west end studio? Ref GEN-04075,general_query
"Tomorrow evening bokking for pedicure at Melbourne CBD, can this be done ??",booking
"If I cancel on the same day in Geelong, is there a fee?",general_query
Are there package discounts for multiple massage sessions? Ref PRI-00137,pricing
Could you reschedule my reservation at the north side office to 1:00 PM? Ref RES-01349,reschedule
Can I move my appointment on June 5 to May 6? Ref RES-02651,reschedule
Can I get pricing for end of lease cleaning at home in Richmond?,pricing
I need to cancel my massage appointment on July 13. Ref CAN-01402,cancellation
Can you remove my booking for massage tomorrow in Sydney CBD?,cancellation
What are your operating hours on Thursday? Ref GEN-04048,general_query
What are your operating hours on Tuesday? Ref GEN-00827,general_query
Can we move #boo-2264,booking
Kindly cancel my reservation for October 10 at 11:00 AM. Ref CAN-02223,cancellation
Could you reschedule my reservation at the north side office to 11:00 AM? Ref RES-01424,reschedule
I want to book a nail appointment on Thursday at 3:30 PM. Ref BOO-00205,booking
Do I need to arrive early for a massage? Ref GEN-00223,general_query
What are your operating hours on Thursday? Ref GEN-03836,general_query
Please book me for facial at the downtown branch this Tuesday. Ref BOO-01624,booking
"please proceed, call off that appointment.",cancellation
What should I bring for my first therapy session? Ref GEN-01812,general_query
What should I bring for my first nail appointment? Ref GEN-01744,general_query
"I want to reschedule instead of cancel, but if not possible cancel out it. #can-1395",reschedule
What should I bring for my first therapy session? Ref GEN-01992,general_query
"hair styling booking for 14 June, tomorrow morning, Glenelg.",booking
Help me reserve a slot for a massage next Monday morning. Ref BOO-01826,booking
"I might book later, just need a quote for relaxation massage first. #pri-254",pricing
"quick one, fee for a manicure in Brisbane City?",pricing
I need to put me down for carpet cleaning on 14 June at next Tuesday afternoon near Perth CBD. Ref #12655.,booking
Can you cancel my scheduled nail appointment at the city center location? Ref CAN-02307,cancellation
Please help me reschedule my booking to 5:00 PM instead of 9:30 AM. Ref RES-03020,reschedule
Do I need to arrive early for a facial? Ref GEN-00533,general_query
Where is your downtown branch located exactly? Ref GEN-03078,general_query
Can you schedule a 90 minutes consultation for September 25? Ref BOO-02198,booking
Do prices change for evening bookings like Friday night? #pri-483,pricing
Do you have parking available at the city center location? Ref GEN-01971,general_query
Can you void my booking for remedial massage tomorrow in Perth CBD?,cancellation
Can I move my appointment on April 16 to November 20? Ref RES-00980,reschedule
What should I bring for my first facial? Ref GEN-04194,general_query
Book two people for massage on 28 June around Saturday morning in Adelaide CBD.,booking
Can you cncl my booking for massage tmrw in Glenelg?,cancellation
"hi there, What is the price for a relaxation massage in Parramatta?",pricing
Can you schedule a 45 minutes massage for November 24? Ref BOO-01143,booking
What are your rates for chiropractic session on weekends? #pri-2507,pricing
can you please What is the price for a waxing in Perth CBD? Ref inquiry 12014.,pricing
Where is your west end studio located exactly? Ref GEN-00120,general_query
Please book me for consultation at the city center location this Wednesday. Ref BOO-00100,booking
mobile beauty appt in Adelaide CBD next Monday - call off pls.,cancellation
"remedial massage booking for 3 July, Saturday morning, Bondi.",booking
Can I get pricing for relaxation massage at home in Newcastle? Ref inquiry 10088.,pricing
Help me reserve a slot for a hair styling next Thursday morning. Ref BOO-00156,booking
Could you reschedule my reservation at the downtown branch to 3:30 PM? Ref RES-02269,reschedule
Do I need to arrive early for a consultation? Ref GEN-02276,general_query
I need an appointment for nail appointment on September 15 at 5:00 PM. Ref BOO-00483,booking
I have to cancel my appointment due to a conflict this Monday. Ref CAN-01334,cancellation
Can you cancel my scheduled consultation at the downtown branch? Ref CAN-01768,cancellation
Please book me for hair styling at the downtown branch this Thursday. Ref BOO-02023,booking
Please cancel my booking for Thursday at 6:30 PM. Ref CAN-02394,cancellation
Can I get pricing for pedicure at home in Adelaide CBD? Ref inquiry 10162.,pricing
Can I move my appointment on February 9 to February 3? Ref RES-02088,reschedule
I need an appointment for massage on March 19 at 11:00 AM. Ref BOO-02020,booking
What are your rates for deep tissue massage on weekends? #pri-1563,pricing
Do you charge extra for weekend massage bookings? Ref PRI-00413,pricing
How much does a 30 minutes therapy session cost? Ref PRI-01365,pricing
I want to change my hair styling appointment to next Friday. Ref RES-03656,reschedule
"Cancel bokking for tonight, can't make it. #can-2121",cancellation
I need an appointment for facial on March 21 at 8:00 AM. Ref BOO-01098,booking
Do I need to arrive early for a nail appointment? Ref GEN-03778,general_query
price? physio session #pri-1172,pricing
would you mind cancel my manicure appointment for around 7:30pm in Gold Coast.,cancellation
I need to schedule chiropractic session on 3 July at before 9am near Adelaide CBD.,booking
What are your rates for relaxation massage on weekends? #pri-372,pricing
I need to delete the session on 18 May at around 6pm.,cancellation
Are there package discounts for multiple facial sessions? Ref PRI-00618,pricing
I need to reschedule my facial from Tuesday to Saturday. Ref RES-03353,reschedule
Can I move my appointment on March 27 to March 8? Ref RES-00302,reschedule
I need an appointment for facial on October 17 at 5:00 PM. Ref BOO-01037,booking
Can I move my appointment on March 19 to January 11? Ref RES-03146,reschedule
How much does a 30 minutes therapy session cost? Ref PRI-00242,pricing
I need to reschedule my facial from Wednesday to Sunday. Ref RES-03471,reschedule
I want to book a hair styling on Saturday at 1:00 PM. Ref BOO-01062,booking
I want to book a therapy session on Sunday at 5:00 PM. Ref BOO-02206,booking
I need to reschedule my hair styling from Thursday to Friday. Ref RES-01519,reschedule
How much for pedicure next Tuesday afternoon? #pri-2304,pricing
What are your operating hours on Tuesday? Ref GEN-00559,general_query
Where is your downtown branch located exactly? Ref GEN-00444,general_query
I need to reschedule my consultation from Sunday to Thursday. Ref RES-00768,reschedule
Book two people for mobile beauty on 14 June around tomorrow evening in Adelaide CBD.,booking
"I might book later, just need a quote for massage first. #pri-2497",pricing
"Before I confirm, what would remedial massage cost for two people",pricing
Kindly cancel my reservation for March 23 at 8:00 AM. Ref CAN-02592,cancellation
Take me off the end of lease cleaning slot on 9 July asap.,cancellation
Do you have parking available at the downtown branch? Ref GEN-00077,general_query
Do you charge extra for weekend nail appointment bookings? Ref PRI-00990,pricing
"Before I confirm, what would relaxation massage cost for two people? #pri-1780",pricing
I want to change my massage appointment to next Friday. Ref RES-04082,reschedule
Do I need to arrive early for a therapy session? Ref GEN-03070,general_query
"Before I confirm, what would carpet cleaning cost for two people? #pri-2472",pricing
I have to cancel my appointment due to a conflict this Sunday. Ref CAN-02510,cancellation
What are your operating hours on Thursday? Ref GEN-02739,general_query
What are your operating hours on Monday? Ref GEN-02092,general_query
Could you reschedule my reservation at the downtown branch to 9:30 AM? Ref RES-02067,reschedule
Book two people for,booking
Kindly cancel my reservation for December 9 at 6:30 PM. Ref CAN-01711,cancellation
How much does a 2 hours massage cost? Ref PRI-01042,pricing
I need to call off the session on 9 July at next Monday.,cancellation
I need to cancel my facial appointment on June 25. Ref CAN-01400,cancellation
I want to change my facial appointment to next Thursday. Ref RES-03005,reschedule
Help me reserve a slot for a massage next Saturday morning. Ref BOO-01315,booking
Reschedule my existing booking to 10 June this afternoon in Adelaide CBD. #boo-2509,reschedule
What are your operating hours on Friday? Ref GEN-02588,general_query
Can we move my relaxation massage appointment to this afternoon at Geelong?,reschedule
Do I need to arrive early for a consultation? Ref GEN-01011,general_query
Do you charge extra for weekend massage bookings? Ref PRI-00903,pricing
I need to reschedule my hair styling from Monday to Sunday. Ref RES-00666,reschedule
Please cancel my booking for Thursday at 3:30 PM. Ref CAN-00536,cancellation
What are your operating hours on Friday? Ref GEN-02237,general_query
"I want to reschedule instead of cancel, but if not possible delete it. #can-706",reschedule
What should I bring for my first nail appointment? Ref GEN-02594,general_query
Where is your north side office located exactly? Ref GEN-04200,general_query
Please cancel my booking for Thursday at 5:00 PM. Ref CAN-01064,cancellation
What are your operating hours on Sunday? Ref GEN-03613,general_query
I have to cancel my appointment due to a conflict this Sunday. Ref CAN-00435,cancellation
What should I bring for my first therapy session? Ref GEN-04235,general_query
Can I move my appointment on September 27 to February 17? Ref RES-01937,reschedule
Any extra fee for massage in Geelong?,pricing
Need a therapist at home in Wollongong for mobile beauty before 9am.,booking
"Cancel bokking for tonight, can't make it. #can-895",cancellation
Do you have parking available at the west end studio? Ref GEN-02647,general_query
Book two people for end of lease cleaning on 10 June around next Monday in Fortitude Valley.,booking
nah cncl that for the remedial massage slot Friday night in Sydney CBD.,booking
Can I get pricing for remedial massage at home in Fremantle? #pri-2326,pricing
Can you book me for hair styling Friday night? I'm in Newcastle.,booking
Is there a surcharge in Richmond and what's the total usually? #pri-568,pricing
Could you reschedule my reservation at the downtown branch to 1:00 PM? Ref RES-03380,reschedule
Need a therapist at home in Fremantle for deep tissue massage this afternoon.,booking
Where is your west end studio located exactly? Ref GEN-01885,general_query
Could you reschedule my reservation at the west end studio to 8:00 AM? Ref RES-01051,reschedule
Do I need to arrive early for a facial? Ref GEN-01718,general_query
I need to arrange spring cleaning on 22 May at before 9am near Fremantle.,booking
Please book me for massage at the city center location this Tuesday. Ref BOO-00493,booking
Can I move my appointment on October 14 to July 22? Ref RES-02921,reschedule
Can you cancel my scheduled massage at the city center location? Ref CAN-00202,cancellation
Do you have parking available at the city center location? Ref GEN-02518,general_query
How many #can-2963,general_query
What are your operating hours on Thursday? Ref GEN-00054,general_query
Do you charge extra for weekend therapy session bookings? Ref PRI-00829,pricing
Can we move my chiropractic session appointment to tomorrow evening at Bondi?,reschedule
Could you reschedule my reservation at the city center location to 6:30 PM? Ref RES-02697,reschedule
Kindly cancel my reservation for June 3 at 1:00 PM. Ref CAN-00957,cancellation
What should I bring for my first massage? Ref GEN-03537,general_query
How much for remedial massage 2nite?,pricing
"Before I confirm, what would cleaning cost for two people? #pri-1773",pricing
Please cancel my booking for Saturday at 3:30 PM. Ref CAN-01055,cancellation
"hi there, schedule a carpet cleaning for Friday night in Parramatta?",booking
Need this cancelled immediately: chiropractic session 12 May tonight.,cancellation
Book two people for facial on 20 June around Friday night in Geelong. Ref #12793.,booking
Do you have parking available at the west end studio? Ref GEN-02792,general_query
"Before I confirm, what would hair styling cost for two people? #pri-248",pricing
What should I bring for my first massage? Ref GEN-01555,general_query
Can I move my appointment on April 17 to October 26? Ref RES-03642,reschedule
Please cancel my booking for Tuesday at 5:00 PM. Ref CAN-01234,cancellation
I want to change my facial appointment to next Friday. Ref RES-00719,reschedule
What are your rates for facial on weekends? #pri-1216,pricing
How much for facial Saturday morning? #pri-2146,pricing
Can I get pricing for pedicure at home in Newcastle?,pricing
Do you have parking available at the city center location? Ref GEN-02745,general_query
How much for chiropractic session lunchtime? Ref inquiry 10960.,pricing
Can you share your pricing for a hair styling on April 2? Ref PRI-00064,pricing
I want to change my massage appointment to next Thursday. Ref RES-01853,reschedule
Help me reserve a slot for a therapy session next Friday morning. Ref BOO-00885,booking
Are there package discounts for multiple nail appointment sessions? Ref PRI-01264,pricing
Can I move my appointment on December 19 to February 5? Ref RES-00659,reschedule
Do prices change for evening bookings like after work? #pri-578,pricing
Do you have parking available at the north side office? Ref GEN-00293,general_query
Please cancel my booking for Monday at 6:30 PM. Ref CAN-02191,cancellation
"I might book later, just need a quote for remedial massage first. #pri-1944",pricing
Need this cancelled immediately: deep tissue massage 12 May Friday night.,cancellation
Please cancel my booking for Thursday at 5:00 PM. Ref CAN-01629,cancellation
"waxing booking for 12 May, Sunday evening, Melbourne CBD.",booking
"I might book later, just need a quote for facial first. #pri-583",pricing
Can you cancel my scheduled consultation at the downtown branch? Ref CAN-00701,cancellation
Help me reserve a slot for a nail appointment next Thursday morning. Ref BOO-01234,booking
Where is your downtown branch located exactly? Ref GEN-03294,general_query
Do you have parking available at the downtown branch? Ref GEN-00532,general_query
Can you share your pricing for a consultation on December 25? Ref PRI-00200,pricing
Do you have parking available at the west end studio? Ref GEN-00759,general_query
Can you schedule a 45 minutes nail appointment for May 18? Ref BOO-00542,booking
I want to book a consultation on Sunday at 5:00 PM. Ref BOO-01133,booking
I need to arrange hair styling on 3 July at before 9am near Brisbane City.,booking
How much does a 30 minutes nail appointment cost? Ref PRI-01464,pricing
I want to book a nail appointment on Friday at 3:30 PM. Ref BOO-00274,booking
Can you schedule a 30 minutes facial for May 12? Ref BOO-02200,booking
I want to book a massage on Saturday at 9:30 AM. Ref BOO-00660,booking
I need to reschedule my therapy session from Wednesday to Sunday. Ref RES-00899,reschedule
Are there package discounts for multiple hair styling sessions? Ref PRI-01333,pricing
Do you charge extra for weekend massage bookings? Ref PRI-00097,pricing
Kindly cancel my reservation for April 15 at 5:00 PM. Ref CAN-00943,cancellation
do it for the mobile beauty slot Sunday evening in Adelaide CBD.,booking
"massage booking for 3 July, next Tuesday afternoon, Melbourne CBD.",booking
I want to change my facial appointment to next Tuesday. Ref RES-00765,reschedule
What are your rates for massage on weekends? #pri-1486,pricing
I need to reschedule my therapy session from Sunday to Thursday. Ref RES-01408,reschedule
How much for physio session asap?,pricing
I need to reschedule my therapy session from Tuesday to Saturday. Ref RES-02693,reschedule
"I might book later, just need a quote for chiropractic session first. #pri-2617",pricing
Can you cancel my scheduled massage at the city center location? Ref CAN-01236,cancellation
Help me reserve a slot for a hair styling next Wednesday morning. Ref BOO-02221,booking
Can you schedule a 1 hour consultation for July 17? Ref BOO-01776,booking
Do prices change for evening bookings like Saturday morning? #pri-3318,pricing
Do I need to arrive early for a facial? Ref GEN-03193,general_query
Can I move my appointment on June 8 to October 21? Ref RES-01452,reschedule
Do you have parking available at the west end studio? Ref GEN-00847,general_query
Could you reschedule my reservation at the north side office to 8:00 AM? Ref RES-02838,reschedule
Need a therapist at home in Sydney CBD for carpet cleaning asap.,booking
I need an appointment for therapy session on October 17 at 8:00 AM. Ref BOO-01225,booking
Where is your west end studio located exactly? Ref GEN-00407,general_query
Please help me reschedule my booking to 9:30 AM instead of 9:30 AM. Ref RES-03547,reschedule
Kindly cancel my reservation for June 28 at 6:30 PM. Ref CAN-01185,cancellation
"today if possible, remove my carpet cleaning appointment for Sunday evening in Melbourne CBD.",cancellation
Can you schedule a 2 hours consultation for November 24? Ref BOO-00465,booking
"book it, stop that appointment. #can-612",cancellation
"go ahead, cancel out that appointment.",cancellation
I need an appointment for hair styling on November 20 at 11:00 AM. Ref BOO-00155,booking
Are there package discounts for multiple massage sessions? Ref PRI-00631,pricing
Please remove booking ID 8626.,cancellation
"quick one, call off my pedicure appointment for before 9am in Geelong.",cancellation
Please help me reschedule my booking to 5:00 PM instead of 9:30 AM. Ref RES-03376,reschedule
Kindly cancel my reservation for June 1 at 8:00 AM. Ref CAN-01115,cancellation
I need to cancel my consultation appointment on August 6. Ref CAN-01520,cancellation
Do I need to arrive early for a hair styling? Ref GEN-01965,general_query
I need to cancel my nail appointment appointment on April 2. Ref CAN-00266,cancellation
Where is your west end studio located exactly? Ref GEN-02105,general_query
What should I bring for my first hair styling? Ref GEN-02810,general_query
Take me off the deep tissue massage slot on 15 July tomorrow evening.,cancellation
Do you have parking available at the west end studio? Ref GEN-00877,general_query
What should I bring for my first therapy session? Ref GEN-01280,general_query
What should I bring for my first therapy session? Ref GEN-00178,general_query
"deep tissue massage booking for 28 June, Friday night, Geelong.",booking
I need to set up mobile beauty on 14 June at after work near Glenelg.,booking
I need to reschedule my consultation from Tuesday to Tuesday. Ref RES-00169,reschedule
What should I bring for my first consultation? Ref GEN-01730,general_query
Can you share your pricing for a facial on June 25? Ref PRI-01350,pricing
Do you have parking available at the downtown branch? Ref GEN-03290,general_query
Please help me reschedule my booking to 8:00 AM instead of 8:00 AM. Ref RES-01534,reschedule
What should I bring for my first nail appointment? Ref GEN-00707,general_query
"mate, pricing on a manicure in Gold Coast?",pricing
Do I need to arrive early for a nail appointment? Ref GEN-03301,general_query
Could you reschedule my reservation at the city center location to 1:00 PM? Ref RES-01709,reschedule
Please cancel my booking for Saturday at 11:00 AM. Ref CAN-02120,cancellation
Please help me reschedule my booking to 3:30 PM instead of 6:30 PM. Ref RES-02634,reschedule
How much does a 2 hours massage cost? Ref PRI-01054,pricing
Do I need to arrive early for a massage? Ref GEN-02053,general_query
Do I need to arrive early for a massage? Ref GEN-00655,general_query
Please cancel bokking ID 8459.,cancellation
Any extra fee for chiropractic session in Fortitude Valley?,pricing
Please help me reschedule my booking to 1:00 PM instead of 9:30 AM. Ref RES-02657,reschedule
Can you clarify your refund and cancellation rules? #can-2458,general_query
